ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
444.0	6.738	18.86	30.91	35.29	33.72	25.51	20.95	17.04	15.82	14.95	14.95	15.14	15.92	16.72	16.71	15.49	13.78	11.76	10.53	8.768	4.492
446.0	9.553	19.50	29.32	34.96	32.19	26.07	19.87	16.89	15.54	14.82	14.63	15.05	15.53	16.31	16.45	15.32	13.83	11.67	9.756	9.710	4.671
448.0	10.34	18.93	29.26	33.41	31.73	25.58	20.19	16.90	15.14	14.68	14.16	14.59	15.44	16.07	16.01	15.01	13.66	11.68	9.528	10.44	4.822
450.0	10.85	16.32	25.85	32.73	32.00	25.14	19.80	16.69	14.98	14.44	14.20	14.53	15.02	15.79	15.64	14.88	13.33	11.60	9.380	10.69	5.042
452.0	11.10	19.63	29.99	33.24	31.66	25.73	20.15	16.49	14.67	14.22	13.80	14.28	14.81	15.59	15.77	14.73	13.28	11.81	9.442	10.74	5.495
454.0	8.642	18.08	28.60	34.44	32.24	25.23	20.41	16.13	14.27	14.01	13.77	13.96	14.58	15.28	15.29	14.38	13.01	11.59	9.435	9.848	5.942
456.0	10.47	21.03	31.27	32.98	30.47	26.19	19.99	16.33	14.24	13.98	13.49	13.77	14.52	15.06	14.91	14.27	12.91	11.59	9.520	9.190	6.773
458.0	8.971	17.01	29.08	33.27	29.53	25.57	19.90	16.23	14.18	13.56	13.35	13.60	14.17	14.67	14.85	13.92	12.97	11.46	9.345	8.359	7.675
460.0	13.02	17.07	27.04	32.16	30.91	24.90	19.79	16.27	14.19	13.56	13.03	13.48	13.90	14.48	14.61	13.76	12.52	11.46	9.448	7.946	8.434
462.0	10.97	14.61	28.30	32.03	30.35	23.98	19.57	16.10	14.43	13.42	12.96	13.14	13.49	14.17	14.22	13.21	12.48	11.41	9.407	7.706	8.957
464.0	8.436	16.44	25.17	28.34	30.21	24.44	19.76	15.70	13.96	13.04	12.61	13.09	13.41	13.76	13.83	13.45	12.31	11.31	9.399	7.766	9.026
466.0	9.592	17.91	23.37	29.74	29.36	24.16	19.01	15.38	13.77	13.18	12.43	12.67	12.90	13.57	13.87	13.00	12.17	11.10	9.299	7.699	8.683
468.0	7.934	15.00	25.71	30.09	28.63	24.05	19.15	15.18	13.66	12.82	12.08	12.51	12.77	13.24	13.75	12.76	11.92	10.92	9.364	7.843	7.972
470.0	10.17	12.09	22.44	29.28	28.09	24.06	18.45	15.38	13.22	12.37	11.99	12.24	12.59	12.96	13.31	12.46	11.67	10.53	9.141	7.733	7.308
472.0	12.99	15.88	27.17	29.84	26.47	23.72	18.51	15.19	12.82	12.24	11.77	11.99	12.24	12.80	12.70	12.25	11.26	10.53	9.054	7.590	6.765
474.0	10.29	12.52	21.81	26.93	27.53	23.39	18.12	14.91	12.86	12.11	11.53	11.60	11.81	12.33	12.54	11.98	11.24	10.22	8.836	7.570	6.357
476.0	13.55	12.45	20.70	27.36	27.28	22.27	18.20	14.36	12.65	11.71	11.40	11.28	11.65	11.99	12.10	11.57	10.80	9.979	8.906	7.542	6.165
478.0	14.24	9.278	17.79	25.99	25.14	21.23	17.57	14.22	12.51	11.35	11.37	10.93	11.36	11.88	11.73	11.27	10.52	9.949	8.731	7.500	6.120
480.0	11.66	13.18	23.64	26.07	26.49	20.92	17.19	13.64	11.74	10.87	10.56	10.53	10.90	11.39	11.41	10.86	10.16	9.626	8.517	7.175	6.084
482.0	12.71	12.57	19.10	24.71	24.94	20.96	16.17	13.88	11.85	10.86	10.53	10.28	10.45	10.91	11.04	10.50	9.840	9.214	8.405	7.109	5.992
484.0	8.287	12.82	17.84	24.20	24.53	20.01	16.23	12.82	11.17	10.52	9.988	10.03	10.14	10.64	10.55	10.18	9.503	8.955	8.045	7.042	5.825
486.0	7.140	10.10	20.84	24.51	23.44	19.40	15.35	12.87	10.98	10.27	9.738	9.720	9.932	10.17	10.35	9.881	9.192	8.722	8.012	6.783	5.756
488.0	4.048	8.819	21.16	23.94	23.83	19.50	15.03	12.03	10.79	9.729	9.534	9.452	9.730	9.987	9.990	9.588	9.160	8.548	7.743	6.663	5.590
490.0	15.88	15.30	20.21	21.80	21.93	18.93	14.78	12.54	10.85	9.384	9.144	9.074	9.129	9.593	9.580	9.105	8.751	8.394	7.328	6.537	5.573
492.0	10.42	15.82	17.72	22.14	21.54	19.01	14.59	12.02	10.32	9.504	8.929	8.991	8.960	9.495	9.246	9.032	8.537	8.111	7.192	6.456	5.514
